seed,domain,method,horizon,original_mse,shuffled_text_mse,random_text_mse,drop
2026,Energy,event_with_verifier,3,0.0357624914562386,0.0518571409277732,0.0357624914562386,0.4500427351721021
2026,Energy,event_with_verifier,6,0.1309740392000919,0.1738198422052339,0.1309740392000919,0.3271320275897233
2026,Energy,event_with_verifier,3,0.0234855028979819,0.0253167032386218,0.0209253710615403,0.0779715192216377
2026,Energy,event_with_verifier,6,0.0709299357805307,0.082251119342347,0.0730195953384931,0.1596107967282818
2026,Health_US,event_with_verifier,3,1.7720217666895932,2.4154642369884063,1.7720217666895932,0.363112057873229
2026,Health_US,event_with_verifier,6,3.318521829283993,5.195465574663764,3.318521829283993,0.5655963232837139
2026,Health_AFR,event_with_verifier,3,0.0037707587403829,0.0029952843242619,0.0037901085488225,-0.2056547420592285
2026,Health_AFR,event_with_verifier,6,0.0057869472716748,0.0050317082825051,0.0058045261841145,-0.1305073216869205
2027,Energy,event_with_verifier,3,0.0234868687890481,0.0249598331072038,0.0209259154995368,0.0627143759087414
2027,Energy,event_with_verifier,6,0.0709345078895129,0.0838909151883053,0.0730211967982921,0.1826530934559135
2027,Health_US,event_with_verifier,3,1.762580182337812,1.9627779804466892,1.762580182337812,0.1135822359260521
2027,Health_US,event_with_verifier,6,3.2505257122922027,2.8994372100591264,3.2505257122922027,-0.108009760053704
2027,Health_AFR,event_with_verifier,3,0.0037706963286315,0.0035573049415705,0.0037900501799905,-0.0565920372427452
2027,Health_AFR,event_with_verifier,6,0.0057868862871512,0.0054020929056058,0.0058044695533282,-0.0664940284725749
2028,Energy,event_with_verifier,3,0.0234847929269699,0.0193863290949244,0.020925088158834,-0.1745156469886861
2028,Energy,event_with_verifier,6,0.0709275618336635,0.0632193989251801,0.0730187627471458,-0.1086765526574877
2028,Health_US,event_with_verifier,3,1.7748275101376714,1.942584343939075,1.7748275101376714,0.0945200774966526
2028,Health_US,event_with_verifier,6,3.3239845779877064,3.772745510498272,3.3239845779877064,0.1350069237632381
2028,Health_AFR,event_with_verifier,3,0.0037707504152687,0.0035462644118503,0.0037901007724916,-0.0595335089029933
2028,Health_AFR,event_with_verifier,6,0.0057869392597515,0.0053146468779913,0.0058045187626366,-0.0816135025029623
